H@Q@YiW: I?h]@eOWG, 
X??O?CG?Wo?o?O?G`_?c??C??K??CP?@`?@G_??c??GC??AO??B: Y?_W@e?GG??A_A??g?GCP?_O?GI????GC?C?@??i??@???hI???CG??_, 
X??O?GG?__?BB?AO?S?B??a?OO??G@??Y??aO?O@?C?o?A?O??`: YCHW@cAGKO?@?GO@????_O???AG??_?@K?C???KK?@????T?_A???o?_, 
X??O?GG?oD?_A?A??O__AC?_@G?@_A?Ca??gG?@a?A?O?_?G??B: Y??G@c??G?GB?AO_g_?CP_?_?OK@??G?C_?CCG?HO??A??@a??????P_, 
X??O?GG?oD?_A?A??O__AC?_@G?@_A?Ca?@_G?@a??OO?_?G??B: Y??Y@C?GGC?B_?O@g_??T???@?K@????Kg??CG?G_??@?@@_?A????Q_, 
X??O?GQ?W??BE?B??W?O??ACAG??G@??g_@G_?GA?C?G??Q_??a: Y?HQ?c??GC?B_AOCoC?A?a??_C?W????W_?????w@????ADC??A??K?_, 
X??O?GWAO_?A?_?W?O_?S?@_K??CO@??L??G_?CK?A?C?C?O??B: Y?gW@eOGGC?B???@?O??DO?G?AG?O_?AA?A????yG?????HO?O???@@_, 
X??O?GWAO_?P?C?W?O?W??__?G_?GA??q?A_G?@c?A?G??OG??B: Y??Y@C?GGC?B_?O@g_??T???@?K@????Kg??CG?G_??@?@@_?A????Q_, 
X??O?GWC?Q?A?_?W?O_?S?@_K??C_@??L??G_?CK?A?C?C?O??B: YCHW@cAGKO?@?GO@????_O???AG??_?@K?C???KK?@????T?_A???o?_, 
X??O?GWC?Q?Q?C?W?O?W??__?G_?GA??q?A_G?@c?A?G??OG??B: Y?`A?CO?GCCB_AOC_C@A?G??O??W????[G?G@?@K?@??G?@C??@??K?_, 
X??O?K?E?O@O?G?I?_Oc??O??_G?_A?@a?D?_A_@??SC??_O??`: Y??Y?aO??CCA_?OCg?@A@_A???GOC?@_CG?C?@?H??G?@?B@?G??o??_, 
X??O?KOA?@aAAG?@_O?S?@?G@???O@??o_?aO?@C??GO??QO?OA: Y?hW@aOGGC?A_??@g???G?_??AG?OG?@OB?????y????@A@??OA??K?_, 
X??O?KW??O@O?C?E?_Oc??O??_G?_A?@a?D?_A_@??SC??_O??`: Y?`G?cO?G?CA_A??o?@A@O?O?CGG??COCg???GGIC??A??P?CO??A@?_, 
X??O?O?E?C?K@GB?AO?D??Q??Q??W@?B@??W_??c??GG??@G??D: Y?gW?_OOGC??@??Bo??C@O?C?G_E????\???G@?K@??CG?@?D????_G_, 
X??O?O?E?D?K@_?G@_?a??_O?G??_C?@__AAO?PC?GGC?@?O??`: Y?hW@eOGG??A_??@g???@O_??A??OG?B??CO???w?O_??@@?a????@@_, 
X??O?O?E?E?c?GB?AO?D??O_?S??S@?B@??W_??c??GG??@G??D: Y?gW?_OOGC??@??Bo??C@O?C?G_E????\???G@?K@??CG?@?D????_G_, 
X??O?O?E?K?K?GB?AO?D??O_?Q??W@?B@??W_??c??GG??@G??D: Y?HY@cO?GCC?a?OC?@_?A?A??AC??O??M?_???BG?G???AH?C?A??K?_, 
X??O?O?E?K?K?GB?AO?D??O_?S??S@?B@??W_??c??GC??@O??D: Y?HQ?c??GC?B_AOCoC?A?a??_C?W????W_?????w@????ADC??A??K?_, 
X??O?O@?GK?SE??o@_?__?C??I??GP?@`?@G_?@C??CC??@O??D: Y?GA?cAGGO?A_G??o@?_Bc??C@I?G@A?DC???A??G????_BA??A???K_, 
X??O?OA?GB?oE??o@_?__?C??E??OP?@`?@G_?@C??CC??@O??D: Y?gW@eOGG??B_??_g_??@????AI?A??OGA?G???w?G???B@O??A?AC?_, 
X??O?OA?GBB?@C?o@_?c??C??E??OP?@`?@G_??c??GG??@G??D: Y?gW@eOGG??B_??_g_??@????AI?A??OGA?G???w?G???B@O??A?AC?_, 
X??O?OA?WH?WE??_@_?_A?C??I??GP?@`?@G_??c??GC??AO??B: Y?H?@cA?GO?@_G??o@?_Bc??C@GG???GD???GC?GC?@?A?HO@??A??__, 
X??O?OO?WC@CCOA_?`?K??C??GG??A?BA?E?G?Cc??SC??_O??`: Y?@?@cA?GOG@_G??o@?_Bc??C@GW???gD???G??HO???O?C?C?C???B_, 
X??O?OO?WK@CCOA_?_?C@?C??GG??A?BA?E?G?Cc??SC??_O??`: Y?gQ@_O??CCA??OC`_?E@@???II??O?WE????G?G@????OD_??A?C?C_, 
X??O?OO?_G?KAGCO?P?K?AC??W??GA??q?B?G?@c?@?G??OG??B: Y?_W@a??GC??@??Bo??C@O?C?G_E????\?O?G@?I?C??A_@I???CG??_, 
X??O?OO@_??KAGCO?P?S?@A??W??GA??q?B?G?@c?@?G??OG??B: Y?gO@aOO?C??@??Bo??C@O?C?G_E????\???G@?GW???E?@?D????_G_, 
X??O?OO@_O?KAGCO?O?CO@?G?W??GA??q?B?G?@c?@?G??OG??B: Y?gW?aOOGC?????Bo??C@O?C?G_E????\???G@?HA???_O@?D????_G_, 
X??O?OOAGa?O@??W?OO?o?@_E??OG@??L??G_?CK?@?C?G?O??B: Y?HA?c?GGO?@_G??o@?_Bc??C@GG???GC`???g???_A???FO@??A??__, 
X??O?OOAGa?O@_A_?__B??E??C???A??e?@__?_`??WC??OO?@@: Y?gW@eOGG??A_A??g??CP?@??@_CA??OTC?????G?G????bO??A??AC_, 
X??O?OOAGa?o???W?OO?o?@_I??GC@??L??G_?CK?@?C?G?O??B: Y?H?@_AGGO?@_G??o@?_Bc??C@GG???GCB?????YC???A?BO@??A??__, 
X??O?OOAGa?oA??W?O??o?@_AA?G@@??L??G_?CK?@?C?G?O??B: Y?HA?c?GGO?@_G??o@?_Bc??C@GG???GC`???g???_A???FO@??A??__, 
X??O?OQ?GIB??_?o@_??c?C??K??CP?@`?@G_?@C??CC??@O??D: Y?HG?_AGGO?B_G??o@?_Bc??C@I?G@??CA???O?I??@?G?@?_?@???S_, 
X??O?S??GP@_C_?W?o?__?C??E??OP?@`?@G_?@C??CC??@O??D: Y?@G@_A?GO?@_G??o@?_Bc??C@IC???GD?C?I??GA???A?HGC???_?A_, 
X??O?S??WDB?@??_`_?`??C??E??OP?@`?@G_??c??GG??@G??D: Y?@G@c??GO?B_G??o@?_Bc??C@IC??O?D?C????X???_C?@GC???_?@_, 
X??O?SCC?O?B@_?WA@?O_?g??A??GA?@a?@CG?Ac??CG??_G??B: Y?gW@eOGG??A_A??g??CP?@??@_CA??OTC?????G?G????bO??A??AC_, 
X??O?SCC?O?B@_?g?K?_OAC??C???H??o_?c_?OA?C?G??Q_??a: Y?gW@eOGG??B_?O_g_??P????A?C???O???I??@W??W???XO@????E?_, 
X??O?SCC?OA@AC?g?B?B?@_??E??AC??T??CO?CC?@?C??SG??E: Y?gW@eOGG??A_A??g??C@?@??@_C???OTC????AI?G????b?AC???O__, 
X??O?WA?WC?@@?A?b??c??E??c??GA??Y??aG?Oa?C?O?A?G??B: Y?HW?cOG?CGA???BO@@?@a??@?W?C?@?C?A??C?[??C?C?DO_????o?_, 
X??O?WA?WC?@@?A?b??c??E??c??GA??Y?AAG?Oa?@?O?A?G??B: Y?_W@CO?G?GB?AO_g??CP_??_?K???G@CP???C@?@?C???FI?????a?_, 
X??O?WA?_O?`E?C_?A?@@?C??_?A?A?Oa?@_G@_A??KO?@OG?B?: Y?@W@eO?K??Aa?OC??_?EO????_CO???[A?G?A@HO????C@G@????C@_, 
X??O?WAA?`?A?_?W?O_?S?@_CO?o?@??L??G_?CK?A?C?C?O??B: Y??Y@C?GGC?B_?O@g_??Ta????G@??_?Cg??CG?G??C?G?`_??A??@O_, 
X??O?WAA?`?aE??W?O??O?@_?O_C?`??L??G_?CK?A?C?C?O??B: Y??Y@C?GGC?B_?O@g_??T???@?K@????Kg??CG?G_??@?@@_?A????Q_, 
X??O?WACGO?A?_?W?O_?S?@_CG?o?@??L??G_?CK?A?C?C?O??B: Y?@W@EO?G??A_A?@g???X?a??@kO??a?D???A??H?_????DG??C?_?@_, 
X??O?WACGO?`E??W?O??O?@_?O_C?`??L??G_?CK?A?C?C?O??B: Y?_G@eO?G??A_A?@g???X?a??@iC??O?C_??@??IG?????LGC??C??C_, 
X??O?WG?GA?B?_E??_Oc??I?AO??G@?@__?K_?OA?C?G??Q_??a: Y?HQ?c??GC?B_AOCoC?A?a??_C?W????W_?????w@????ADC??A??K?_, 
X??O?WGC_C?cE??_?GG?O?G??GG?_c?K@?@OG?@a?@?O?@?G??B: YCHW@cAGKO?@?GO@????_O???AG??_?@K?C???KK?@????T?_A???o?_, 
X??O?WGC_C?cE??_?GG@??A??OG?Oc?K@?@OG?@a?@?O?@?G??B: Y?gG@CO?G?GB?AO_g??CP_?__?G???G@CP???C@?@?C???F_??_D???_, 
X??O?WQ?_?b?@_?@`??B??AG?O??O@??o_?aO?@C??GO??QO?OA: Y?hW@eOGGC?B_???g???P?@O?A??@???S??A??@IC????AB??OG??@O_, 
X??O?WQ?_C?_A@E??K??O?C??GG?_c?I@?AOG?@a?@?O?@?G??B: Y?gY@eOGGC?B??O@__??S_?_??G??G?@`??A???G??G_??H??GC???`_, 
X??O?WQA???B?A?W?P??cE??E???GA??Y??QG?_a?@?O?G?G??B: Y??W@EO?G?GB_A?_g_?C@a??O?H?_???CG???O?X??@???hO?O??AC?_, 
X??O?WQA?C?aE??_?GG?O?G??GG?_c?K@?@OG?@a?@?O?@?G??B: Y?HQ?cOG?CG????Bo@@?@a??@?W?C?@?C?A??C?[??C?C?DB????D??_, 
X??O?WQA?C?aE??_?GG@??A??OG?Oc?K@?@OG?@a?@?O?@?G??B: YCGA?CAGK?GAD??B???O@??GK?H??O?Oe?_???oGG??AG?@O??A?OG?_, 
X??O?_G?WC?oCGAO@O?GO?C??GG??A?EA??oG?Ac?GCC??_O??`: Y?gW@eOGG??A_A??g??CP?@??@_CA??OTC?????G?G????bO??A??AC_, 
X??O?_G@_`@G?_?B?A?B???gI??GC@??L??G_?CK?@?C?G?O??B: Y?@G@c?GG??B_G??o@?_Bc??C@GC??O?D??A?A?H??A?S?@O@??A??C_, 
X??O?_GA_GACAO?a?B?B?@_??E??AC??T??OG?GK??GG??OG??B: Y?gW@eOGG?GB_???__??@?_C?AI?A???C??_?A?WCA????hO??G?AC?_, 
X??O?_GCGQ?o?_A_?_OB??E??C???A??e?@__?_`??WC??OO?@@: Y?@G@c?GG??B_G??o@?_Bc??C@GC??O?D??A?A?H??A?S?@O@??A??C_, 
X??O?cCA?O?K?g?AB???a@_??G??_@?@a?B?_@@A??KG?@?G??`: Y?GG@_O?KCCAA?OCgO?_@??`C?GG?_E?E??G?A??@?????F_??A?@?C_, 
X??O?cG?GW@?@_C??OG?g?O??_G?_A?E?_GG_?KC?GCC??_O??`: Y?`O@AO?GCC@?AOC`??E?O_?P?H????@CG????CWG@????T_?_??D??_, 
X??O?o??GS?o?C?o@C?`?@C??I??K@??p?@__??c??GC??@O??D: Y?GG@_O?KCCAA?OCgO?_@??`C?GG?_E?E??G?A??@?????F_??A?@?C_, 
X??O?oB??@?B@_A_@_??OCC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?GA?cAGGO?A_G??o@?_Bc??C@I?G@A?DC???A??G????_BA??A???K_, 
X??O?oB??@?B@_C_@_??OAC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?gW@eOGG??A_A?_G_??HO@??GQ?A?C????K???g?C????J?A?O??OA_, 
X??O?oB??@?BA_C_@_??O@C??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?@G@_A?GO?@_G??o@?_Bc??C@IC???GD?C?I??GA???A?HGC???_?A_, 
X??O?oG?_??B?I?o?a?COB??O_??GA??Y??QG?_a?@?O?G?G??B: Y?gY@eOGGC?B???@__??D??@??k?????C??@??aG?O_??GHO??G??A__, 
X??OG?AA?A@_CC?W?D??o?@_W??E?@??L??G_?CK?@?C?G?O??B: Y?hW@eOGG??A_??@g???@O_??A??OG?B??CO???w?O_??@@?a????@@_, 
X??OG?AA?AB??o?W?D??o?@_K??__@??L??G_?CK?@?C?G?O??B: Y?gY@eOGGC?B???@__??D??@??k?????C??@??aG?O_??GHO??G??A__, 
X??OGC??GA?BA_E?@_?`??I?@O??G@?@__?K_?OA?C?G??Q_??a: Y?@?@cA?GOGA_G??o@?_Bc??C@GG???O?g?????wO?C??_HO_??GC??_, 
X??OGC??Go@O?S?WAC?W??C??E??OP?@`?@G_??c??GC??@O??D: Y?@W@EO?G??A_A?@g???X?a??@kO??a?D???A??H?_????DG??C?_?@_, 
X??OGC?A?@@_CC?W?S??o?@_W??AO@??L??G_?CK?@?C?G?O??B: Y?gY@eOGGC?B????__??D??@??k??O??D??@??aG?O???GH?@O???CA_, 
X??OGC?A?@B??Q?W?S??o?@_K??__@??L??G_?CK?@?C?G?O??B: Y?HQ@_O???CAA??CoC??BO?C?oK???COE?G???_G?W????RB????o??_, 
X??OGC?B?@?BE?A_?K?`??Q??C???H??o_?c_?OA?C?G??Q_??a: Y?@G@cA?GO?@_G??o@?_Bc??C@G?G@??CG?@?D?A??C???FO_??GC??_, 
X??OGC?CGA?BA_E??K?W??I??C???H??o_?c_?OA?C?G??Q_??a: Y?@G@cA?GO?@_G??o@?_Bc??C@G?G@??CG?@?D?A??C???FO_??GC??_, 
X??OGCG?Go?O?S?W@_?_G?C??E??OP?@`?@G_??c??GC??@O??D: YCHW@cAGKO?@?GO@????_O???AG??_?@K?C???KK?@????T?_A???o?_, 
X??OGCG?_?b?B?CG?H?@_?O??GG?GA??q?B?G?@c?@?G??OG??B: Y?@?@cA?GO?@_G??o@?_Bc??C@GG???gD???GC?HO???O?DO@??A??__, 
X??OGO?A_`?C?oC@?g?@?A?C?G??_@?@a?AAO?PC?GGC?@?O??`: Y?`O@AO?GCC@?AOC`??E?O_?P?H????@CG????CWG@????T_?_??D??_, 
X??OGO?B?a?K?_?G?OGo??G_?W??GA??q?B?G?@c?@?G??OG??B: Y?gI?eO?GCC???OC_G??HG???OW?W??@S?A?@??I???_@O@_??GD???_, 
X??OGO?E?@?K?a?G?OGW?CO??W??GA??q?B?G?@c?@?G??OG??B: YCHA?c?GK?GAD??A?G?O@??GK?H??O?Oc?_???OK??@??W@?g???@?C_, 
X??OGOA?OCB?B?CO?E??o?G??GG?GA??q?B?G?@c?@?G??OG??B: Y?H?@_AGGO?@_G??o@?_Bc??C@GG???GCB?????YC???A?BO@??A??__, 
X??OGOA?WCB??G?E@_?a??A_?A??GA?@a?@CG?@a??OO??OG??B: Y?HI@cAGG?GA???@o@?G@?G??AC_????]??GC?@GOO???O@?AO???C@_, 
X??OGOB??@?BA_E??g??OCC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?@?@cA?GO?@_G??o@?_Bc??C@GG???gD???GC?HO???O?DO@??A??__, 
X??OGOB??@?BCOE?@_??O?c??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?@G@c??GOG@_G??o@?_Bc??C@IC????CG?@?D?H??A?C?@GC???_?@_, 
X??OGODA?_?B?o?G@@?__?_O?A??GA?@a?@CG?Ac??CG??_G??B: Y?@G@c??GOG@_G??o@?_Bc??C@IC????CG?@?D?H??A?C?@GC???_?@_, 
X??OGODA?_@@CC?_?B?@A?o??E??AC??T??CO?CC?@?C??SG??E: Y?@G@cAGG??@_G??o@?_Bc??C@GC?@??CG?@?D?I??C?@?@O@??A??@_, 
X??OGOO?W??PAGCO?`?S??C??GG??A?EA??oG?Ac?GCC??_O??`: Y?@G@c??GOG@_G??o@?_Bc??C@IC????CG?@?D?H??A?C?@GC???_?@_, 
X??OGOO?W?@CCO@A@O?CO?C??GG??A?BA?E?G?Cc??SC??_O??`: Y?hW@eOGG?G?_A?__??C@?@??@A?@??OO??O??BG?g????X?A?G??H?_, 
X??OGOO?WC?_?@A_@C?a??A_?K??c@?@`?@G_??c??GC??@O??D: Y?hW@aOGGC?A_?O?GO??D?A??AGE????s?C???OG?G????b?A?G??OA_, 
X??OGOO?WG?O?@A_@C?a??A_?K??c@?@`?@G_??c??GC??@O??D: Y?hW@aOGGC??_??@g???H?_??AG?OG?@OB?????y?A??@A??D?????B_, 
X??OGOO?_??KAGCO?P?GOAC??W??GA??q?B?G?@c?@?G??OG??B: Y?gO@aOO?C??@??Bo??C@O?C?G_E????\???G@?GW???E?@?D????_G_, 
X??OGOOAGa?O???W?OO?o?@_CA?OG@??L??G_?CK?@?C?G?O??B: Y?gG@aOOGC??@??Bo??C@O?C?G_E????\????@?H???a_?@?D????_G_, 
X??OGOOAGa?O@?A_??oB??E??C???A??e?@__?_`??WC??OO?@@: Y?@G@_A?GO?@_G??o@?_Bc??C@IC???GD?C?I??GA???A?HGC???_?A_, 
X??OGOPE??_??oB??P?@??@C?K??G@?AO_?S_?GA?C?G??Q_??a: Y?@I@_AGGO?@_G??o@?_Bc??C@G?G@??CG?@?@?A??C???F?o???C?C_, 
X??OGOW?GA?BB??oA??C??AC?O_?G@?@__@G_?_A??GG??Q_??a: Y?HY?cOG?CGA???Bo@??@A??@?W?C?@?C?A??C?[??C?C?D_?A?G?C?_, 
X??OGWAA?_?BAA??aC?B??COA???G@??o_?aO?@C??GO??QO?OA: Y?GY@COGGC?B_?O@g???T???@?K@????KO??A?AC??O???L@?G????K_, 
X??OGWAA__B??O?I?@??c?GG?E??AC??p??C_?G@??DG??OG??D: Y??I@eOGGC?B_??@g_??D_??O?HO????C??G@??WO?@???hO?O??AC?_, 
X??OGWAA__B??O?I?@??c?GG?E??AC??p??aG?@@??CG??@_??D: Y?_W@e?GGC?B_??@_O??S??O??YG???@D??_??@I??O???JI???CG??_, 
X??OGWGC?@`ACG?@_O?A@?_???G?O@??o_?aO?@C??GO??QO?OA: Y?gW@eOGG?GB_A?_????@?_??A??B???[?@C??EIG????A@O?G??A?@_, 
X??OGWGC?A@ACG?_?@G@_?a??E??AC??T??OG?GK??GG??OG??B: Y?hW@eOGG?GA_A?_???C??@??@_?@??OT??A??BG?C???E@?AC???OA_, 
X??OGWGC?A@ACG?a?@?@_?_G?E??AC??T??OG?GK??GG??OG??B: Y?hW@eOGG?GA_A?_???C?????@i????OS?A???KG?GO??CP?AC???OG_, 
X??OGWO?_P?A?W?_??go??A??O??G@?@H??I_?PC?COG?A?G??`: Y?hW@eOGGC?B_??@_???D??O?GY???C@@?????AG?@????R???o???I_, 
X??OGWOAGo?A?_?W?O_?C?A??AG?G`?@`?@G_??c??GC??@O??D: Y?hW@eOGKC?A?_?@????QO???@G????@c?A_???g?CC??D@O@????@C_, 
X??OGWOAGo?A?_?W?O_?K?A??A???Q?AE??cG?EC??CG??_G??B: Y?gW@eOGG?GB_??_g_??@?_C?AG?A???K??A?A?I??@?@?G??CC???B_, 
X??OG_B??@?BAOE?@_??O?c??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?gW@eOGG??A_A?_G_??HO@??GQ?A?C????K???g?C????J?A?O??OA_, 
X??OG_B??@?BA_AO@_??OCC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?GA?cAGGO?A_G??o@?_Bc??C@I?G@A?DC???A??G????_BA??A???K_, 
X??OG_B??@?BA_E?@_??O?S??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?@G@_A?GO?@_G??o@?_Bc??C@IC???GD?C?I??GA???A?HGC???_?A_, 
X??OG_G?O??DAA?gB??E?@C??W??GA??q?B?G?@c?@?G??OG??B: Y?HQ?c??GC?B_AOCoC?A?a??_C?W????W_?????w@????ADC??A??K?_, 
X??OGo??WC?cAACG@O??O?C??AG?G`?@`?@G_??c??GG??@G??D: Y?hW@eOGG??A_??@g???@O_??A??OG?B??CO???w?O_??@@?a????@@_, 
X??OGo??WCACA_@G@@??O?C??CG?C`?@P?@O_??c??GC??@O??D: Y?hW@eOGG??A_??@g???@O_??A??OG?B??CO???w?O_??@@?a????@@_, 
X??OGo?A_`?E?A?@_W?W??G??AG?AA??U??aG?C@??GO??@O??D: Y??G@cAGG?GB_G??o@?_Bc??C@IC?@??CC???A??O?A???FO??GA??C_, 
X??OGo?A_`?WB????E??A?GO?G???c?EA?COO?H@??KC?@?O??`: Y?@G@cAGGOG@_G??o@?_Bc??C@IC?????G?@?C?H??A??_@???o???D_, 
X??OGoB??@?B?_A?`_??OCC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?hW@eOGG?GA_A?_???C??@??@i?@??OC?A???CG?@?_?@H?AC???OG_, 
X??OGoB??@?B?_C?`_??OAC??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?hW@eOGG?GA_A?_???C??@??@_?@??OT??A??BG?C???E@?AC???OA_, 
X??OGoB??@?BA?C?`_??O?c??OO?G@?@G_?W_?OA?C?G??Q_??a: Y?hW@eOGG?GA_A?_???C??@??@_?@??OT??A??BG?C???E@?AC???OA_, 
X??OGoB??@?BA_C?@_??O?CO?OO?G@?@G_?W_?OA?C?G??Q_??a: Y??G?EOG??GB_AO_g_?CPA??P?H???@?Cg???C?OA?C???F_?A?D???_, 
X??OGoBA_WA????A_?o?g?G_??_?A@??T??S_??c??GC??@O??D: Y?hW@eOGG?GB_??_g?G?P?_??AG?O???O??O??@???C_??L???o???K_, 
X??OGoBA__@_?@?A?B?@C??O?AG?AA??q??aG?@@??CG??@_??D: Y?hW@eOGG?GB_??_g?G?P?_??AG?O???O??O??@???C_??L???o???K_, 
X??OGoBA__@_?@?E?CO?C?A???G??a?@E?@CG?Ac??_G??_G??B: Y?HW@EO?GCCB_AO?g??_@?_???OA???@???H??@g??W???Xa????CO?_, 
X??OGoBB???A?I?B@O?_???C??G?O@?@`??I_@_C?AGC??OO?@@: Y?hW@eOGG?GA?A?__???P?@???I?@??OO?@C???k?C??OA@??H????S_, 
X??OGoBB??_C?BA_A???O??G??W??A?BA?COG?Ac?CCC??_O??`: Y?hW@eOGG?GA_A?__??CP????@a????OC?CG??GG??W???P??AO???D_, 
X??OGoBB??_C?BC?@O??O??O??W??A?@Q?COG?Oc?CCC??_O??`: Y?@G@cA??OG@_G??o@?_Bc??C@IC?@????o????WO?A?A_@GC?????c_, 
X??OGoBB?@@OC??E?@??C?@_??o??@??W_?Q_?GA?A?G??Q_??a: Y?hW@eOGG?GB_??_g??CP?A???g?C???G?@???A???C_??L???o???K_, 
X??OGoBB?S?AC??G??g?C?@_?GO??@??W_?Q_?GA?A?G??Q_??a: Y?hW@eOGKCGA?_?@????@??G?BG?C???c?GO??G_??A???FO?A???OA_, 
X??OGoI????B?I?o?@?__B???O_?GA??Y??QG?_a?@?O?G?G??B: Y?HQ?cOG?CG????Bo@@?@a??@?W?C?@?C?A??C?[??C?C?DB????D??_, 
X??OGoI?G?_W?AB?A?O?O?C??AG?G`?@P?@O_?@C??CC??@O??D: Y?gW@eOGG??B_?O_g_??P????A?C???O???I??@W??W???XO@????E?_, 
X??OGoI?G?_W?CB?A?O?O?A??AG?G`?@P?@O_?@C??CC??@O??D: Y?GG?cAGGOG@_???o@?_Bc??C@I????_DA???@?OG?C???FGO???G_?_, 
X??OGoI?GWA??@??_W??a?C??K??CP?@`?@G_??c??GC??@O??D: Y?gW@eOGGC?A??O@__??T_?`??g????G@??A???W?O????X?_?_???E_, 
X??OGoI?GWA??D?o?A?????K??O??I?HA?@O_A@@?CCC?@?O??`: Y?GW@e??KCCA_?OCg_??PC???A?O??@????H??@g??W???XO_???@C?_, 
X??OGoI?oWA??H?C??G????K??O??I?PA?AO_@@@?ACC?@?O??`: Y?hW@eOGG?GA_A?__???@?@???gC?_?O??GO??P???E???FO?G???AO_, 
X??OGoI?oWA??H?C??G????K??O??I?QA?AO_@@@?@CC?@?O??`: Y?hW@eOGKCGA?_?@??O?@????@??O_?CL??G??CG?A???D@??B????E_, 
X??OGoIC???D?C?@_B?W??o??I??AA??e??aG?A@??GG??@_??D: Y?gW@aO?GCCA@??BO??C@O?C?G_E????\?????_I?C???GA?C?G???B_, 
X??OGoIC???D?C?@_W?W??E??I??A@??e??EO?AA?@?C??A_??B: Y?@A@_AGGOG?_G??o@?_Bc??C@GG???O?g?????wO?C??_H?o???D??_, 
X??OGoIC??_WB????E??A?AO?G???c?EA?COO?H@??KC?@?O??`: Y?hW@eOGG?GA_A?__??CP?@???_?@??OP?????BG?A????T??@A???o_, 
X??OGoIC?@`_?o?C?@??B?@??AG?AC?@D??CO?CC??OC??SG??E: Y?GW@e?OKCCAP??A`??_@??G?_C?????_??K???w??S???hO_???@O?_, 
X??OGoIC?E@_?A?@_A?@_??G??G?C@??o_?aO?@C??GO??QO?OA: Y?hW@eOGKCGA?_?@????@??G?BG?C???c?GO??G_??A???FO?A???OA_, 
X??OGoIC?W?W?A?C?E??E?@??AG?AA??q??aG?@@??CG??@_??D: Y?hW@eOGG?GA_A?_g??CP?@???g????AC?G????O??S???F??@C???g_, 
X??OGoK???`OCA?o?C??@?CC?O???I?Aa?K?_?`@?@CC?@?O??`: Y??G@cA??OGB_G??o??_Bc??C@IC?@O???o????YG???@C@GC?????c_, 
X??OGoK???`OCA?o?C??@?CC?O???I?BA?K?_?`@??cC?@?O??`: Y?hW@eOGG?GA_A?__??CP?@??@_????OP??A??@G?@C??@@???o???D_, 
X??OGoK???`OCC?o?C??@?CC?G???I?Aa?K?_?`@?@CC?@?O??`: Y?gW@eOGG??B_??_g_??P????AA?A??OGA?G???Y?G???B@??B????c_, 
X??OGoK???`OCC?o?C??@?CC?G???I?BA?K?_?`@??cC?@?O??`: Y?hW@eOGG?GA_A?_???CO?@??@I?@??OC?B???CG?@?_?@@??H????P_, 
X??OGoK?GEA?A_?C?A??G??K?@???I?Ca?H?_?H@?GCC?@?O??`: Y?hW@eOGG??A_??__??C@?@??@I?@???S?I???GG?O_???bO@???A?O_, 
X??OGoK?o??@A_CA?@??`?H??C???H??o_?c_?OA?C?G??Q_??a: Y?gW@eOGG?GA_A?_G?????_??A??B???[?@C??EIG???@A@?B????K?_, 
X??OGoK?o??B?GA_??o?S??O?G?_?C?@H??IG?@a??_O?@?G??B: Y?gW@aOGG?GB_??_g_??@?_C??G?A??OD??A?A@?E????O`??CO???K_, 
X??OGoK?o?_@?H??`O?_??AO??O?G@?@__?IO?@C??GO??QO?OA: Y?gW@eOGKCGA?_?@????@O?G?AG?C???c?GO??G_?AA???FP?????P?_, 
X??OGoK?o?_C?@?A@O??I?A_O????I??o_AC_?Gc?A?G??OG??B: Y?gQ@_O??CCA??OC`_?E@@???II??O?WE????G?G@????OD_??A?C?C_, 
X??OGoK?o?_C?@?A@O??W??oO????I??o_AC_?Gc?A?G??OG??B: Y?hW@eOGG??A_A?_g??C@?@???g?O???C?GG??OO??c???FO@????@O_, 
X??OGoK?o?_DA_C???G?D??O?C??O@??K_?W_?AA??Go??OO?G@: Y?hW@eOGG?GA_A?__??CO????@I?@??O???o??AG?GO???X??H????S_, 
X??OGoK?o?`O?A?Ga???O??K?C???C?Aa?AAO?H@??KC?@?O??`: Y?@I@CAG?O?@_G??o@?_Bc??C@G?G@??CG?@?D?A??C???FCO???K??_, 
X??OGoK?o?`O?A?IA???C??K?C???C?Aa?AAO?H@??KC?@?O??`: Y?hW@eOGG?GB_??__???P?_??A??@???S?@A??E???I???FO?G??A@?_, 
X??OGoK?o@?B?A??`O?_??@O??O?C@?@__?IO?@C??GO??QO?OA: Y?hW@eOGKCGA?_?@????@??G?BG?C???c?GO??G_??A???FO?A???OA_, 
X??OGoK?oS???AC@?A_@C?@??AG?AC??p??C_?G@??DG??OG??D: Y?@O@eO?G?GA_A?_g??CP?B??@k????_C_??B??HO?????HA??_???H_, 
X??OGoK?oS???AC@?A_@C?@??AG?AC??p??aG?@@??CG??@_??D: Y?hQ?eOGG??B_??@g???T?a??@gA????C??A@??H??????JA??O???I_, 
